IATA,ICAO,Airline,Call sign,Country/Region,Comments
,AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico,
,EPE,Aero Empresarial,AEROEMPRESARIAL,Mexico,
,AON,Aero Entreprise,AERO ENTERPRISE,France,
,EOM,Aero Ermes,AERO ERMES,Mexico,
,XPN,Aero Express,,Niger,
,XSS,Aero Express Intercontinental,INTER EXPRESS,Mexico,
,FNX,Aero Fenix,AERO FENIX,France,ICAO code no longer allocated
GV,ARF,Aero Flight,Aero Fox,Germany,defunct
,AGY,Aero Flight Service,FLIGHT GROUP,United States,
,FGT,Aero Freight,FREIAERO,Mexico,
,AGW,Aero Gambia,AERO GAMBIA,Gambia,"defunct, ICAO code no longer allocated"
,ROH,Aero Gen,AEROGEN,Mexico,
,HOM,Aero Homex,AERO HOMEX,Mexico,
,WAB,Aero Industries Inc,WABASH,United States,
,INA,Aero Internacional,AERO-NACIONAL,Mexico,
,AJB,Aero JBR,AERO JBR,Mexico,
,AJE,Aero Jet Express,JET EXPRESS,Mexico,defunct
,RVQ,Aero Jet International,REVA AIR,United States,
,AJP,Aero Jets Corporativos,AEROJETS,Mexico,
,MHC,Aero Jomacha,AERO JOMACHA,Mexico,
,JUA,Aero Juarez,JUAREZ,Mexico,
RF,EOK,Aero K,AEROHANKUK,South Korea,established in May 2016; commenced operations on 15 April 2021
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka,
QH,FLZ,Aero Leasing,AIR FLORIDA,United States,dba Air Florida
,LDR,Aero Lider,AEROLIDER,Mexico,
,ARK,Aero Link Air Services S.L.,LINK SERVICE,Spain,
,AEM,Aero Madrid,AEROMADRID,Spain,
,MFL,Aero McFly,MCFLY,Mexico,
,DLS,Aero Modelo,AEROMODELO,Mexico,
,MNG,Aero Mongolia,AERO MONGOLIA,Mongolia,
,NTD,Aero Norte,,Mexico,
,OVA,Aero Nova,AERONOVA,Spain,
,OWN,Aero Owen,AERO OWEN,Mexico,2014[1]
,PNL,Aero Personal,AEROPERSONAL,Mexico,
,MIE,Aero Premier De Mexico,AEROPREMIER,Mexico,
,QUI,Aero Quimmco,QUIMMCO,Mexico,
,NRO,Aero Rent JSC,AEROMASTER,Russia,defunct
,RCO,Aero Renta De Coahuila,AEROCOAHUILA,Mexico,
,ROO,Aero Roa,AERO ROA,Mexico,
,RRC,Aero Roca,AEROROCA,Mexico,
,SMI,Aero Sami,SAMI,Mexico,
,GHM,Aero Service Bolivia,,Bolivia,
,BAS,Aero Services,AEROSERV,Barbados,
W4,BES,Aero Services Executive,BIRD EXPRESS,France,
,GLM,Aero Services Mali,GLOBAL MALI,Mali,
,SRV,Aero Servicio Corporativo,SERVICORP,Mexico,
,GUE,Aero Servicio Guerrero,AERO GUERRERO,Mexico,
,PTD,Aero Servicio Pity,PITY,Mexico,
,RVI,Aero Servicios,AERO SERVICIOS,Mexico,
,TED,Aero Servicios Azteca,AEROAZTECA,Mexico,
,NEL,Aero Servicios de Nuevo Laredo,AEROLAREDO,Mexico,
,SEF,Aero Servicios Ejecutivas Del Pacifico,SERVIPACIFICO,Mexico,
,SII,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico,
,EMS,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico,
,SVE,Aero Servicios Expecializados,AEROESPECIAL,Mexico,
,PNU,Aero Servicios Platinum,AERO PLATINUM,Mexico,
,ERI,Aero Servicios Regiomontanos,ASERGIO,Mexico,
,VNG,Aero Servicios Vanguardia,VANGUARDIA,Mexico,
,ETE,Aero Siete,AEROSIETE,Mexico,
,SIZ,Aero Silza,AEROSILZA,Mexico,
,ASO,Aero Slovakia,AERO NITRA,Slovakia,
,SOG,Aero Soga,AEROSOGA,Guinea-Bissau,defunct
,ASR,Aero Sotravia,SOTRAVIA,France,2014[1]
,SDP,Aero Sudpacifico,SUDPACIFICO,Mexico,
,IKM,Aero Survey,EASY SHUTTLE,Ghana,Callsign changed from GHANA SURVEY
,QAT,Aero Taxi,AIR QUASAR,Canada,defunct
,QKC,Aero Taxi Aviation,QUAKER CITY,United States,
,TBO,Aero Taxi de Los Cabos,AERO CABOS,Mexico,
,TME,Aero Taxi del Centro de Mexico,TAXICENTRO,Mexico,
,TPO,Aero Taxi del Potosi,TAXI-POTOSI,Mexico,
,VAD,Aero Taxi Los Valles,VALLES,Spain,
,TND,Aero Taxis Cessna,TAXIS CESSNA,Mexico,
,FES,Aero Taxis Y Servicios Alfe,AERO ALFE,Mexico,
,TLU,Aero Toluca Internactional,AEROTOLUCA,Mexico,
,TZA,Aero Tomza,AERO TOMZA,Mexico,
,TON,Aero Tonala,AEROTONALA,Mexico,
,ATW,Aero Trades (Western) Ltd.,AERO TRADES,Canada,"defunct, ICAO code no longer allocated"
,AMP,Aero Transporte S.A. (ATSA),ATSA,Peru,
,HUY,Aero Transportes Del Humaya,AERO HUMAYA,Mexico,
,EPL,Aero Transportes Empresariales,EMPRESARIALES,Mexico,
,TPB,Aero Tropical,AERO TROPICAL,Angola,
,TLE,Aero Util,AEROUTIL,Mexico,
,ARI,Aero Vics,AEROVICS,Mexico,
,VMR,Aero Vilamoura,AERO VILAMOURA,Portugal,ICAO code no longer allocated
2D,AOG,Aero VIP,AVIP,Argentina,defunct
,VLS,Aero Virel,VIREL,Mexico,
,AOV,Aero Vision,AEROVISION,France,
,AOD,Aero Vodochody,AERO CZECH,Czech Republic,
,MYS,Aero Yaqui Mayo,AERO YAQUI,Mexico,
,RZL,Aero Zambia,AERO ZAMBIA,Zambia,
,RZN,Aero Zano,ZANO,Mexico,
,ABA,Aero-Beta,Aerobeta,Germany,
,ABA,Aero-Beta,AEROBETA,Germany,
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine,
,ADN,Aero-Dienst,AERODIENST,Germany,
,MSV,Aero-Kamov,AERAFKAM,Russia,
,SKP,Aero-North Aviation Services,SKIPPER,Canada,defunct
,AET,Aero-Palma,AERO PALMA,Spain,defunct
,EAP,Aero-Pyrenees,AERO-PYRENEES,France,
,REN,Aero-Rent,AERORENT,Mexico,
,REY,Aero-Rey,AEROREY,Mexico,
BF,RSR,Aero-Service,CONGOSERV,Republic of the Congo,
HC,ATI,Aero-Tropics Air Services,,Australia,defunct
,AEH,Aero4m,AEROCUTTER,Slovenia,
,ALE,Aeroalas Colombia,AEROALAS,Colombia,defunct
,AJH,Aeroaljarafe,ALJARAFE,Spain,
,AOK,Aeroatlantico Colombia,,Colombia,defunct
,AQA,"Aeroatlas, S.A.",ATCO,Colombia,
,OBA,Aerobanana,AEROBANANA,Mexico,
,BOC,Aerobona,AEROBONA,Mexico,
,BRP,AeroBratsk,AEROBRA,Russia,
,LSM,Aerobusinessservice,,Russia,defunct
,CDA,Aerocardal,CARDAL,Chile,
,AOB,Aerocaribe Coro,CARIBE CORO,Venezuela,
,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión",AEROCENTER,Spain,
,RCE,Aerocer,AEROCER,Mexico,
,AEC,Aerocésar,AEROCESAR,Colombia,defunct; aka Aerovías del César
,AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic,defunct
,ERC,Aerocharter,,Guatemala,defunct
,MRM,Aerocharter,MARITIME,Canada,
,CYE,Aerocheyenne,AEROCHEYENNE,Mexico,
,AHP,Aerochiapas,AEROCHIAPAS,Mexico,
,BSO,Aeroclub Barcelona-Sabadell,,Spain,
,NVA,Aeroclub de Albacete,,Spain,
,LUE,Aeroclub de Alicante,,Spain,
,MLL,Aeroclub de Mallorca,MALLORCA,Spain,
,AVX,Aeroclub de Vitoria,,Spain,
,FLP,Aeroclub Flaps,AEROCLUB FLAPS,Spain,defunct
,AEK,Aerocon,AEROCON,Bolivia,
,RCP,Aerocorp,AEROCORPSA,Mexico,
,ORP,Aerocorp,CORPSA,Mexico,IATA changed to RCP; callsign changed to AEROCORPSA
,CTD,Aerocorporativos,AEROCORPORATIVOS,Mexico,
,AZM,Aerocozumel,AEROCOZUMEL,Mexico,
,RRO,Aerocredo,,Russia,
,CUO,Aerocuahonte,CUAHONTE,Mexico,
,ROD,Aerodan,AERODAN,Mexico,
,FII,Aerodata Flight Inspection,FLIGHT CHECKER,Germany,ICAO code no longer allocated
,DVI,Aerodavinci,AERO DAVINCI,Mexico,
,DNA,Aerodespachos de El Salvador,AERODESPACHOS,El Salvador,
,DIN,Aerodin,AERODIN,Mexico,
,DMC,Aerodinamica de Monterrey,DINAMICAMONT,Mexico,
,ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico,
,MAM,Aeródromo De La Mancha,AEROMAN,Spain,
,DNJ,Aerodynamics Incorporated,DYNAJET,United States,
,DNC,Aerodynamics Málaga,FLYINGOLIVE,Spain,
,AQZ,Aerodyne Charter Company,QUANZA,United States,
,ERO,Aeroecom,AEROECOM,Venezuela,
,NIE,Aeroejecutiva Nieto,AERONIETO,Mexico,
,AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia,Aeroejecutivos Aeroservicios Ejecutivos
,ROL,Aeroel Airways,AEROEL,Israel,ICAO code no longer allocated
VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico,Former ICAO code: AEN
,ROE,Aeroeste,ESTE-BOLIVIA,Bolivia,
,AEI,Aeroexpreso Interamericano,INTERAM,Colombia,defunct
,CFF,Aerofan,AEROFAN,Spain,
,FAQ,Aerofaq,,Ecuador,
,FEO,Aeroferinco,FERINCO,Mexico,
SU,AFL,Aeroflot,AEROFLOT,Russia,
,RCF,Aeroflot-Cargo,AEROFLOT-CARGO,Russia,
P3,PLS,Aeroflot-Plus,AEROPLUS,Russia,
,FNO,Aeroflota Del Noroeste,RIAZOR,Spain,
,AWF,Aeroforward,,United States,
,FRT,Aerofreight Airlines,,Russia,
,FCO,Aerofrisco,AEROFRISCO,Mexico,
,AEG,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile,defunct
,AGQ,Aerogala,GALASERVICE,Chile,defunct
,GAU,Aerogaucho,AEROGAUCHO,Uruguay,
,GCK,Aerogem Cargo,AEROGEM,Ghana,defunct
,OGI,Aerogisa,AEROGISA,Mexico,
,RWY,Aerogroup 98 Limited,TYNWALD,United Kingdom,ICAO code no longer allocated
,HEI,Aerohein,AEROHEIN,Chile,
,ARH,Aerohelicopteros,AEROHELCA,Venezuela,2014[1]
,ING,Aeroingenieria,AEROINGE,Chile,defunct
,ROO,Aeroitalia,AEROITALIA,Italy,defunct
,JAD,Aerojal,AEROJAL,Mexico,
,BJU,AeroJet,JET EXPRESS,Angola,
,ARJ,"Aerojet de Costa Rica, S.A.",,Costa Rica,
,JOB,Aerojobeni,JOBENI,Mexico,
,KLZ,Aerokaluz,AEROKALUZ,Mexico,
,NKZ,Aerokuzbass,NOVOKUZNETSK,Russia,
,LGN,Aerolaguna,AEROLAGUNA,Mexico,
3S*,AEN,Aeroland Airways,,Greece,"defunct, ICAO code no longer allocated"
XL,LNE,Aerolane,AEROLANE,Ecuador,Líneas Aéreas Nacionales Del Ecuador
,LFT,Aerolift Company,LIFTCO,Sierra Leone,defunct
,LMA,Aerolima,AEROLIMA,Mexico,
,LIN,Aerolimousine,AEROLIMOUSINE,Russia,
,ANQ,Aerolínea de Antioquia,ANTIOQUIA,Colombia,
,MUR,Aerolínea Muri,MURI,Mexico,
,PCP,Aerolínea Principal Chile,PRINCIPAL,Chile,
,LDG,Aerolíneas Aéreas Ejecutivas De Durango,DURANGO,Mexico,
,MNE,Aerolíneas Amanecer,AEROAMANECER,Mexico,
AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina,
,BNZ,Aerolíneas Bonanza,AERO BONANZA,Mexico,
,CTR,Aerolíneas Centauro,CENTAURO,Mexico,
,ALT,Aerolíneas Centrales,AERLINEAS CENTRALES,Mexico,
,PFI,Aerolíneas Chihuahua,PACIFICO CHIHUAHUA,Mexico,
,ECM,Aerolíneas Comerciales,AERO COMERCIALES,Mexico,
,SZA,Aerolíneas de El Salvador,AESA,El Salvador,defunct
,MOR,Aerolíneas De Morelia,AEROMORELIA,Mexico,
,HUC,Aerolíneas de Techuacán,LINEAS TEHUACAN,Mexico,
,AST,Aerolíneas Del Oeste,AEROESTE,Mexico,
,RPC,Aerolíneas Del Pacífico,AEROPACSA,Ecuador,
,DLU,Aerolíneas del Sur,DEL SUR,Chile,defunct
,SUE,Aerolíneas Del Sureste,AEROSURESTE,Mexico,
,LET,Aerolíneas Ejecutivas,MEXEJECUTIV,Mexico,
,ESU,Aerolíneas Ejecutivas Del Sureste,ALESUR,Mexico,
,RSC,Aerolíneas Ejecutivas Tarascas,TARASCAS,Mexico,
,AHL,Aerolíneas Hidalgo,HIDALGO,Mexico,
,LNT,Aerolíneas Internacionales,LINEAINT,Mexico,
,MCO,Aerolíneas Marcos,MARCOS,Mexico,
,AMD,Aerolíneas Medellín,AEROLINEAS MEDELLIN,Colombia,defunct
,MSO,Aerolíneas Mesoamericanas,MESO AMERICANAS,Mexico,
,LMX,Aerolíneas Mexicanas J S,LINEAS MEXICANAS,Mexico,
,EDA,Aerolineas Nacionales Del Ecuador,ANDES,Ecuador,defunct
,OLV,Aerolíneas Olve,OLVE,Mexico,
,APP,"Aerolíneas Pacífico Atlántico, S.A. (Apair)",AEROPERLAS,Panama,
,APR,Aerolíneas Primordiales,AEROPERLAS,Mexico,
,RCQ,Aerolíneas Regionales,REGIONAL CARGO,Mexico,
,SOD,Aerolíneas Sol,ALSOL,Mexico,
,NSO,Aerolíneas Sosa,SOSA,Honduras,
,TTB,Aerolíneas Turísticas del Caribe,AERO TURISTICAS,Mexico,
,AUY,"Aerolíneas Uruguayas, S.A.",AUSA,Uruguay,
,VLR,Aerolíneas Villaverde,VILLAVERDE,Mexico,
A8,XAU,Aerolink Uganda,PEARL,Uganda,
,LDL,Aerologic,,Russia,
3S,BOX,Aerologic,GERMAN CARGO,Germany,
3S,BOX,AeroLogic,GERMAN CARGO,Germany,
,ERM,Aeromaan,EOMAAN,Mexico,
,MGS,Aeromagar,AEROMAGAR,Mexico,
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico,
BQ,ROM,Aeromar Lineas Aereas Dominicanas,BRAVO QUEBEC,Dominican Republic,defunct
,ARM,Aeromarket Express,AMEX,Spain,defunct
,MSM,Aeromas,AEROMAS EXPRESS,Uruguay,
,AXP,Aeromax,AEROMAX SPAIN,Spain,
,DIC,Aeromedica,AEROMEDICA,Mexico,
,AMQ,Aeromedicare Ltd.,LIFELINE,United Kingdom,No longer current
,OMG,Aeromega,OMEGA,United Kingdom,
,MTE,Aeromet Línea Aérea,AEROMET,Chile,defunct
,ARS,Aeromet Servicios,METSERVICE,Chile,
,AXH,Aeromexhaga,AEROMEXHAGA,Mexico,
AM,AMX,Aeroméxico,AEROMEXICO,Mexico,
5D,SLI,Aeroméxico Connect,COSTERA,Mexico,
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico,
,MNI,Aeromilenio,AEROMIL,Mexico,
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine,defunct
,NKY,Aeromonkey,AEROMON,Mexico,
,MRL,Aeromorelos,AEROMORELOS,Mexico,
,OVE,Aeromover,AEROMOVER,Mexico,
,MUN,Aeromundo Ejecutivo,AEROMUNDO,Mexico,
,AXI,"Aeron International Airlines, Inc.",AIR FREIGHTER,United States,
,VSC,Aeronautic de Los Pirineos,,Spain,
,GGL,Aeronáutica,GIRA GLOBO,Angola,
,ECL,Aeronáutica Castellana,AERO CASTELLANA,Spain,
,ESZ,Aeronáutica La Esperanza,ESPERANZA,Mexico,
,EVR,Aeronautical Academy of Europe,DIANA,Portugal,
,SUP,Aeronautical Charters,SUN SPEED,United States,
,XAA,Aeronautical Radio Inc,,United States,
,AGA,Aeronaves Del Centro,,Venezuela,
,DRO,Aeronaves Del Noreste,AERONORESTE,Mexico,
,ENW,Aeronaves Del Noroeste,AERONOR,Spain,
,VTM,Aeronaves TSM,AERONAVES TSM,Mexico,
,KTN,Aeronavigaciya,AERONAVIGACIYA,Ukraine,
,RNM,Aeronem Air Cargo,AEROMNEM,Ecuador,
,NID,Aeroni,AERONI,Mexico,
,GCF,Aeronor,AEROCARTO,Spain,
,NRP,Aeronord-Grup,AERONORD,Moldova,
,RTE,Aeronorte,LUZAVIA,Portugal,ICAO code no longer allocated
,STK,Aeropac,SAT PAK,United States,
OT,PEL,Aeropelican Air Services,PELICAN,Australia,
PL,PLI,Aeroperú,Aeroperu,Peru,defunct
,AOP,Aeropiloto,AEROPILOTO,Portugal,
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela,
,PCG,Aeropostal Cargo de Mexico,POSTAL CARGO,Mexico,
,APO,Aeropro,AEROPRO,Canada,defunct
,MOP,Aeropublicitaria De Angola,PUBLICITARIA,Angola,
,PUE,Aeropuelche,PUELCHE,Chile,
,APU,"Aeropuma, S.A.",AEROPUMA,El Salvador,
,PUT,Aeroput,,Serbia,defunct
,AMM,Aeroputul International Marculesti,AEROM,Moldova,
,PYC,Aeropycsa,AEROPYCSA,Mexico,
P5,RPB,AeroRepública,AEROREPUBLICA,Colombia,
,FST,Aeros Limited,FAST TRACK,United Kingdom,ICAO code no longer allocated
,SBH,Aerosaab,AEROSAAB,Mexico,
,FIC,Aerosafin,AEROSAFIN,Mexico,
,OSN,Aerosan,AEROSAN,Mexico,
,ERK,Aerosec,AEROSEC,Chile,
,SGV,Aerosegovia,SEGOVIA,Nicaragua,
,RBJ,Aeroserivios Del Bajio,AEROBAJIO,Mexico,
,CJE,Aeroservices Corporate,BIRD JET,France,
,PSE,Aeroservicio Sipse,SIPSE,Mexico,
,PIF,Aeroservicios California Pacifico,AEROCALPA,Mexico,
,PSL,Aeroservicios Corporativos De San Luis,CORSAN,Mexico,
,TAA,Aeroservicios de La Costa,AERO COSTA,Mexico,
,NUL,Aeroservicios De Nuevo Leon,SERVICIOS NUEVOLEON,Mexico,
,SUO,Aeroservicios De San Luis,SERVICIO SANLUIS,Mexico,
,DMI,Aeroservicios Dinamicos,AERODINAMICO,Mexico,
,EAE,Aeroservicios Ecuatorianos,AECA,Ecuador,
,EJP,Aeroservicios Ejecutivos Corporativos,EJECCORPORATIVOS,Mexico,
,AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico,
,SPO,Aeroservicios Ejecutivos Del Pacifico,EJECTUIV PACIFICO,Mexico,
,GMS,Aeroservicios Gama,SERVICIOS GAMA,Mexico,
,INO,Aeroservicios Intergrados de Norte,INTENOR,Mexico,
,RJS,Aeroservicios Jet,ASERJET,Mexico,
,SVM,Aeroservicios Monterrey,SERVIMONTE,Mexico,
,SIY,Aerosiyusa,SIYUSA,Mexico,
,ASK,Aerosky,MULTISKY,Spain,
,JPR,Aerosmith Aviation,JASPER,United States,ICAO code no longer allocated
,AFM,AEROSPEED FORMATION ET MAINTENANCE,EPIC AIR,France,
,UAR,Aerostar Airlines,AEROSTAR,Ukraine,
,KRE,AeroSucre,AEROSUCRE,Colombia,
,SYT,Aerosud Aviation,SKYTRACK,South Africa,
,MDX,Aerosud Charter,MEDAIR,South Africa,
